Id,Text Tweet,Sentiment
1,boikot produk bangsa,Negatif
2,sakti alhamdulillah,Positif
3,selamat bantu kamar sinyal hilang panggil darurat,Positif
4,dear jaring data lambat banget,Positif
5,selamat malam dusta,Positif
6,tembak kuota ganggu,Negatif
7,pakai kuota udah ganti kuota gratisan youtube senang banget,Positif
8,kamus perponselan boikot,Negatif
9,keluh tanggap bikin emosi pulsa curi soak pulsa kurang,Netral
10,bilboard iklan pesan sembunyi boikot ramadhan,Negatif
11,mampus puasa subuh sahur cek pulsa sedot sisa ribu tolong dibaca,Positif
12,coba pakai parah koneksi,Positif
13,tuju silah boikot langgan dukung,Negatif
14,dibela bain daftarin kartu tunggu jam puasa rumah sinyal kota,Positif
15,datanya hilang,Negatif
16,internet lelet sesuai iklan,Negatif
17,kangen kiriman pos marchandes langsung pos,Positif
18,mbps cepat kbps kuota full buka google udah bikin nguras uang baterai,Positif
19,kuota internet koneksi internetnya lambat banget,Positif
20,ampun sinyal lambat siput acara live streaming ganggu mundur,Negatif
21,jaring bagus berita hoax hoax,Negatif
22,jelek jaring,Negatif
23,stabil,Positif
24,community cocok komunikasi keluarga rekan bisnis kerja sekolah kampus hubung jarak,Positif
25,kualitas provider ganggu trouble mahal berhari useless,Negatif
26,sinyal tai,Negatif
27,jaring internet parah,Negatif
28,ajaib kuota hilang usage bukti guna lebih batas,Negatif
29,tahun pakai aktif bayar layan puas,Positif
30,cepat banget data habis,Positif
31,tolol namanya provider urus chat app,Positif
32,tinggal whatsapp save,Positif
33,hore sinyal sambu,Positif
34,alhamdulilah kunjung vendor mitra klinik kumsda,Netral
35,lambat jaring lambat,Negatif
36,tega pesan suka telat bikin baper,Positif
37,jaring cepat,Positif
38,kuota extra combo lambat,Negatif
39,buka facebook,Positif
40,rugi isi kuota jaring busuk banget rugi,Negatif
41,solidaritas perasaan solidaritas ngomong,Netral
42,bagi kuota berkah,Positif
43,berkah video ngabuburit anak video sahur keluarga video pakai baju koko,Positif
44,koneksi daerah sawojajar kota malang minggu lambat parah ganggu care,Negatif
45,pakai greget network speed irit anak kere,Positif
46,boikot boikot kartu mahal bagus,Negatif
47,bagi berkah,Positif
48,isi kuota menit langsung habis kacau,Positif
49,sinyal jelek banget,Negatif
50,boikot gera masif antek iklan mari hancur boikot,Negatif
51,alhamdulillah setia menari tabuhan gendang orang selamat isya tarawih,Positif
52,diganti pulsa udah komplain php,Netral
53,sinyal,Netral
54,musuh ulama boikot,Negatif
55,pakai,Positif
56,benci laku bikin boikot dukung coba lihat iklan gambar arit,Negatif
57,puaspakai pakai gimana,Netral
58,kuota gabung sayang pakai mubazir mubazir temennya setan,Positif
59,rezeki moga samsung indonesia,Positif
60,asik kencang,Positif
61,beli kuota jaring internetnya edge,Positif
62,lambat,Negatif
63,nelepon pulsa menit bangsat,Negatif
64,signal internetan subuh,Positif
65,tarif internet super kuota negara internet murah mahal,Positif
